gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
CAMK1D,-0.99543977,2.7906332,7.799979124943678e-17,2.282030171136243e-16,16.107906559608736,False
ENSG00000254419,0.5163808,0.65881,8.363261726621095e-17,2.445398165678683e-16,16.07762431184265,False
MIR6797,0.6514895,0.58761,8.477196550852449e-17,2.4772637495185414e-16,16.07174774724719,False
TACC3,0.98947096,2.790078,8.52056419520984e-17,2.4884825336477334e-16,16.069531647163597,False
SH2D2A,0.7301496,1.7445922,8.610564330284375e-17,2.513299571011201e-16,16.064968384260986,False
TRIP6,0.938308,4.2330933,8.720182674276244e-17,2.543810581760865e-16,16.05947441717762,False
PCBP2P2,0.5282066,2.3287668,8.779372769295136e-17,2.559583897753684e-16,16.056536510581882,False
DQX1,-1.0090816,2.5525055,8.80776777531968e-17,2.5663659018996736e-16,16.05513414444806,True
SLC2A12,0.69030696,0.7457931,8.83417799793222e-17,2.5725620261887656e-16,16.053833854484356,False
SNORD67,0.51319575,0.41528648,8.961447884699413e-17,2.6081047394352193e-16,16.04762181650585,False
ASMTL-AS1,0.6385371,0.9957609,9.018847021782331e-17,2.6232830197156286e-16,16.044848979540472,False
AHNAK,-1.4694619,5.2565203,9.024938231035073e-17,2.6235285555334514e-16,16.044555761833653,True
AKAP7,-0.8544699,2.016657,9.746312792186785e-17,2.8315841929653643e-16,16.011159654750248,False
BDKRB2,-0.91450703,2.2433968,9.940817917247616e-17,2.8864163522786345e-16,16.00257788096149,False
FAS,-0.9264566,2.3106523,9.964612883835403e-17,2.8916462228193277e-16,16.00153956858214,False
RPL17P6,-1.4101415,4.0570116,1.0019100633888989e-16,2.905771645559452e-16,15.999171261230188,True
FOXF2,-1.5682721,2.3072221,1.015926874780654e-16,2.9447155790743595e-16,15.993137550932188,True
GLCE,0.5196271,3.3207674,1.0407818531292674e-16,3.015011162019894e-16,15.982640288654895,False
HRCT1,-2.4013617,3.756042,1.0546640414849969e-16,3.053456981716841e-16,15.97688586090224,True
